sigma,physical_dimension,bordered_dimension,border_rank,matrix_nnz,factor_nnz,factor_fill_ratio,factor_seconds,certificate_seconds,approximate_inverse_frobenius_upper,residual_frobenius_upper,lifted_inverse_two_norm_upper,lifted_inverse_budget_lower,certified_budget_margin,original_center_inverse_two_norm_upper,selected_arc_inverse_two_norm_upper,rh28_selected_arc_resolvent_budget_lower,selected_arc_budget_margin,status
0.01,2048,4109,13,1294989,4507381,3.4806326540225436,2.7856945991516113,32.085200548172,108.74478206784087,5.743634700225225e-10,108.74478213029992,9497.41451992225,87.33673776220618,545.0520168716026,576.69452966032,39725908713979.94,68885530676.66339,rigorous_selected_arc_stored_model_closure
0.004,5120,10255,15,3387077,13958256,4.121032973268692,12.302443265914917,240.13128018379211,151.4904965112043,1.6813946390231736e-09,151.49049676591966,34053.572294052305,224.79015529714223,730.4936951203142,746.2336551496244,593710913439.3038,795609939.7852287,rigorous_selected_arc_stored_model_closure
