sigma,u,one_step_curvature,parity_block_curvature
0.03,1.35,-0.011210294624947492,-143.9832493649297
0.03,1.355,-0.010970352257278104,-151.01345798095784
0.03,1.36,-0.010735955105190431,-156.84224336405768
0.03,1.365,-0.010506968541953376,-161.41748370400987
0.03,1.37,-0.010283261262713506,-164.70747929876785
0.03,1.375,-0.010064705206028202,-166.69722790478522
0.03,1.3800000000000001,-0.009851175476199958,-167.38422017877508
0.03,1.385,-0.00964255026739591,-166.7742164546708
0.03,1.3900000000000001,-0.009438710788894467,-164.87748571836875
0.03,1.395,-0.00923954119333592,-161.70597581876743
0.03,1.4000000000000001,-0.009044928504143845,-157.27183925066333
0.03,1.405,-0.008854762547433115,-151.58765903973202
0.03,1.4100000000000001,-0.008668935882496287,-144.66860134659507
0.03,1.415,-0.008487343735471664,-136.5365625543069
0.03,1.4200000000000002,-0.008309883934275786,-127.22617815297943
0.03,1.425,-0.00813645684556541,-116.79232306400283
0.03,1.4300000000000002,-0.007966965310652663,-105.31847077186707
0.03,1.435,-0.007801314585843766,-92.9250152985683
0.03,1.4400000000000002,-0.007639412282416158,-79.77643119061338
0.03,1.445,-0.007481168309199093,-66.08599807979186
0.03,1.4500000000000002,-0.007326494815361739,-52.11679871811229
0.03,1.455,-0.007175306137219617,-38.17785910864203
0.03,1.46,-0.00702751874977936,-24.614666535834758
0.03,1.465,-0.0068830512318073245,-11.793876732673311
0.03,1.47,-0.006741824270025898,-0.082766034391895
0.03,1.475,-0.006603760770502842,10.175185275710795
0.03,1.48,-0.006468786277989413,18.68639903215676
0.03,1.485,-0.0063368302428354895,25.23220562986941
0.03,1.49,-0.006207829569599199,29.689679429443117
0.03,1.495,-0.006081738159109618,32.0453854432008
0.03,1.5,-0.005958551769235543,32.399752259735244
0.03,1.5050000000000001,-0.005838370972335305,30.96085270586909
0.03,1.51,-0.00572155624576709,28.02773677540145
0.03,1.5150000000000001,-0.005609099588303135,23.964907981205954
0.03,1.52,-0.005503490378368392,19.17081365542233
0.03,1.5250000000000001,-0.005410676137648451,14.044094191410318
0.03,1.53,-0.005344375683982161,8.951634453499869
0.03,1.5350000000000001,-0.005335289680816757,4.202118878641396
0.03,1.54,-0.005450181453610536,0.027872044057575707
0.03,1.5450000000000002,-0.005830194071571038,-3.4235552313856434
0.03,1.55,-0.006765373181155887,-6.088066283895332
0.03,1.5550000000000002,-0.008834899093974169,-7.975329427091265
0.03,1.56,-0.013162093198765046,-9.153084668328296
0.03,1.565,-0.021861910294967535,-9.728320453391222
0.03,1.57,-0.03879742549081677,-9.82817891086341
0.03,1.5750000000000002,-0.07080914462985577,-9.582983041538155
0.03,1.58,-0.12962996210969813,-9.113017240387284
0.03,1.585,-0.23473409782475385,-8.519819669442038
0.03,1.59,-0.41736410320905426,-7.8819363271864
0.03,1.595,-0.7258978522329773,-7.254470817124988
0.03,1.6,-1.2325107848064092,-6.671405014754811
0.03,1.605,-2.040713208521903,-6.149564315565835
0.03,1.61,-3.292775257529511,-5.693208391483381
0.03,1.615,-5.175318370377726,-5.298470068061581
0.03,1.62,-7.920553858845574,-4.957164121950951
0.03,1.625,-11.799984410365944,-4.659782140288986
0.03,1.6300000000000001,-17.107142379297684,-4.397738898442744
0.03,1.635,-24.12645543950532,-4.165119005066696
0.03,1.6400000000000001,-33.08689797797494,-3.960276293480393
0.03,1.645,-44.10182735317131,-3.7876409101893396
0.03,1.65,-57.10013666578208,-3.6599495788119176
0.03,1.655,-71.75800818230772,-3.60077935803662
0.03,1.6600000000000001,-87.4441750729161,-3.646701492736857
0.03,1.665,-103.19352207693797,-3.8476305885859583
0.03,1.67,-117.72297741230541,-4.263230574839394
0.03,1.675,-129.49931222781476,-4.952941494893578
0.03,1.6800000000000002,-136.860798694205,-5.957807615196
0.03,1.685,-138.184770668998,-7.274209792283594
0.03,1.69,-132.08292708846045,-8.822808944499315
0.03,1.695,-117.59811807326966,-10.419789107809098
0.03,1.7,-94.37258626289994,-11.760457342855624
0.03,1.705,-62.7595872821796,-12.425731423607772
0.03,1.71,-23.858030280145215,-11.918798935813843
0.03,1.715,20.53816567420015,-9.732289802101239
0.03,1.72,68.07050997970461,-5.437337387806878
0.03,1.725,116.0082477766321,1.22214382820151
0.03,1.73,161.47627273929328,10.25065236271314
0.03,1.735,201.68976434991407,21.356557262799583
0.03,1.74,234.1698220104431,33.9531220102395
0.03,1.745,256.92178603113,47.205829414441894
0.03,1.75,268.56702825259805,60.116729180343526
0.05,1.35,-0.0117201964092295,67.7643935655338
0.05,1.355,-0.011469541632915803,68.6476095796527
0.05,1.36,-0.011224754217582067,69.28800800150537
0.05,1.365,-0.010985750792779303,69.68686315844607
0.05,1.37,-0.01075248833034359,69.84956587100558
0.05,1.375,-0.010524987115302586,69.78543454292245
0.05,1.3800000000000001,-0.010303367376885864,69.50739015687034
0.05,1.385,-0.010087907188539469,69.03150372048583
0.05,1.3900000000000001,-0.009879133180792476,68.37643065806108
0.05,1.395,-0.009677961398892654,67.56275214157827
0.05,1.4000000000000001,-0.009485914047234867,66.61224810875896
0.05,1.405,-0.009305449929484566,65.54713046979003
0.05,1.4100000000000001,-0.009140463474136995,64.38926755223859
0.05,1.415,-0.008997031076867557,63.15943202794041
0.05,1.4200000000000002,-0.008884516272724352,61.87660432228729
0.05,1.425,-0.008817189613423593,60.55736180563778
0.05,1.4300000000000002,-0.008816578135916853,59.21538095093003
0.05,1.435,-0.008914836357797107,57.861075211671036
0.05,1.4400000000000002,-0.009159529294914703,56.50138578459896
0.05,1.445,-0.009620341223394613,55.139735874914535
0.05,1.4500000000000002,-0.010398374004728539,53.77615182763162
0.05,1.455,-0.011638876109113516,52.40754681618988
0.05,1.46,-0.01354844528276733,51.028155015665135
0.05,1.465,-0.016417966765852943,49.630096689737954
0.05,1.47,-0.02065277128017229,48.20404776561444
0.05,1.475,-0.02681170039782277,46.73998164324094
0.05,1.48,-0.03565691862714915,45.227946555152556
0.05,1.485,-0.04821636670989138,43.65883909450301
0.05,1.49,-0.0658606512624561,42.02513382928177
0.05,1.495,-0.09039584144982049,40.32153039411665
0.05,1.5,-0.12417301310302975,38.54548314960025
0.05,1.5050000000000001,-0.17021435877581426,36.697584332176326
0.05,1.51,-0.23235418623781778,34.78177934011105
0.05,1.5150000000000001,-0.3153910908652059,32.80540201402779
0.05,1.52,-0.42524497366735536,30.779027936964532
0.05,1.5250000000000001,-0.569109400879825,28.716154254743486
0.05,1.53,-0.7555861486934798,26.63272459600954
0.05,1.5350000000000001,-0.9947848244262291,24.546526638677186
0.05,1.54,-1.298366487541618,22.47649706549568
0.05,1.5450000000000002,-1.679506611111264,20.441973529942594
0.05,1.55,-2.152750040603162,18.461935436845295
0.05,1.5550000000000002,-2.7337294299472545,16.554274661734965
0.05,1.56,-3.4387196266717557,14.735133854638091
0.05,1.565,-4.284004293911046,13.018344001511634
0.05,1.57,-5.28503826464935,11.414984974892667
0.05,1.5750000000000002,-6.455400104700666,9.933083604064896
0.05,1.58,-7.805544207364087,8.577454173823527
0.05,1.585,-9.341380155835658,7.349677120914006
0.05,1.59,-11.062728300683684,6.248203921733484
0.05,1.595,-12.961723228120306,5.268570532688836
0.05,1.6,-15.0212592588423,4.403698839775645
0.05,1.605,-17.213592112807753,3.644265696878048
0.05,1.61,-19.499225927054574,2.979122219315781
0.05,1.615,-21.826222395807513,2.3957515616977743
0.05,1.62,-24.130066615521784,1.880760507943298
0.05,1.625,-26.334210496828135,1.4204074748975843
0.05,1.6300000000000001,-28.351388421355455,1.0011752970709664
0.05,1.635,-30.085761336307606,0.6103996042179998
0.05,1.6400000000000001,-31.435896112857925,0.23696105495011133
0.05,1.645,-32.29852946090312,-0.12795903503133277
0.05,1.65,-32.57300388955284,-0.49007536151045283
0.05,1.655,-32.166201936490566,-0.8511841787006257
0.05,1.6600000000000001,-30.997749460551294,-1.2083986467546213
0.05,1.665,-29.00521447499899,-1.553519144380088
0.05,1.67,-26.148999477052634,-1.872643267691438
0.05,1.675,-22.416616054799917,-2.146130071300534
0.05,1.6800000000000002,-17.826042710666215,-2.34902856663713
0.05,1.685,-12.427900479036543,-2.4520582560701865
0.05,1.69,-6.306234289797887,-2.4231884678497213
0.05,1.695,0.4222423242824602,-2.229805279109982
0.05,1.7,7.610500460383347,-1.8413848126461811
0.05,1.705,15.085121311576726,-1.2325174311936946
0.05,1.71,22.651681081921126,-0.3860585591230201
0.05,1.715,30.101400793661615,0.7038710832982025
0.05,1.72,37.218794483425306,2.029340682420761
0.05,1.725,43.789990544487864,3.566820174742119
0.05,1.73,49.61135762281771,5.276406837088874
0.05,1.735,54.498039670187126,7.1022536067929005
0.05,1.74,58.291994945522354,8.974283169892665
0.05,1.745,60.86914105937091,10.811152537827295
0.05,1.75,62.145232702315944,12.524309682114929
0.08,1.35,-0.04031567467789429,15.505869657590816
0.08,1.355,-0.04542022843177475,16.349902966183336
0.08,1.36,-0.05161879091872046,17.185908046390402
0.08,1.365,-0.05910661820256691,18.009265826150394
0.08,1.37,-0.06810911584447238,18.815259456075005
0.08,1.375,-0.07888533456785635,19.599121039655223
0.08,1.3800000000000001,-0.09173161540156484,20.356080949284422
0.08,1.385,-0.10698532760621719,21.081418967326826
0.08,1.3900000000000001,-0.1250286249535809,21.77051642666411
0.08,1.395,-0.14629212601692332,22.41890847947912
0.08,1.4000000000000001,-0.17125840221318164,23.022335598453214
0.08,1.405,-0.20046513371548558,23.576793412297505
0.08,1.4100000000000001,-0.23450776847606325,24.078579998076165
0.08,1.415,-0.2740414940808457,24.52433979573253
0.08,1.4200000000000002,-0.31978230679702224,24.911103374398476
0.08,1.425,-0.37250693796366036,25.236322363452167
0.08,1.4300000000000002,-0.43305137599941745,25.49789896118171
0.08,1.435,-0.5023077041347208,25.694209547004164
0.08,1.4400000000000002,-0.5812189610661481,25.824122045729396
0.08,1.445,-0.670771725768125,25.88700682032356
0.08,1.4500000000000002,-0.771986130472944,25.88274099891334
0.08,1.455,-0.8859030191775985,25.81170626839216
0.08,1.46,-1.013567994759739,25.674780287256173
0.08,1.465,-1.1560121375716133,25.473321981003494
0.08,1.47,-1.3142292337010388,25.209151081983716
0.08,1.475,-1.4891494230837132,24.884522360129157
0.08,1.48,-1.6816092670183287,24.50209506046622
0.08,1.485,-1.8923183415054068,24.06489811744847
0.08,1.49,-2.121822586649499,23.576291755502382
0.08,1.495,-2.370464781791799,23.039926110973365
0.08,1.5,-2.6383426688544747,22.45969752472487
0.08,1.5050000000000001,-2.9252654094196973,21.839703159211815
0.08,1.51,-3.2307092301985705,21.184194591391588
0.08,1.5150000000000001,-3.553773281675547,20.497531025810865
0.08,1.52,-3.8931368998391633,19.784132762870684
0.08,1.5250000000000001,-4.247019614236849,19.048435547418137
0.08,1.53,-4.613145379689291,18.294846413584708
0.08,1.5350000000000001,-4.988712616027773,17.52770163348177
0.08,1.54,-5.370371712184343,16.75122736929402
0.08,1.5450000000000002,-5.754211680054558,15.969503618731734
0.08,1.55,-6.135757622464125,15.186432029908474
0.08,1.5550000000000002,-6.509980601909265,14.405708139691452
0.08,1.56,-6.8713213573831675,13.630798554827926
0.08,1.565,-7.213729112095077,12.864923542519634
0.08,1.57,-7.530716443780174,12.111045421315966
0.08,1.5750000000000002,-7.815430852454179,11.371863039247998
0.08,1.58,-8.0607432612978,10.649812489966743
0.08,1.585,-8.259353230980174,9.947074046733606
0.08,1.59,-8.403910165027966,9.26558508806077
0.08,1.595,-8.487149245407895,8.60705855002227
0.08,1.6,-8.502040277448637,7.973006174492866
0.08,1.605,-8.441947057977425,7.364765539257439
0.08,1.61,-8.30079432834148,6.783529568386029
0.08,1.615,-8.073238854436635,6.230376946551983
0.08,1.62,-7.754840709347864,5.706301619424968
0.08,1.625,-7.342230441185903,5.212239376671796
0.08,1.6300000000000001,-6.833267509012931,4.749089408380286
0.08,1.635,-6.22718518184227,4.317728723367678
0.08,1.6400000000000001,-5.524717035881987,3.9190174398767934
0.08,1.645,-4.728200266911549,3.5537932220265662
0.08,1.65,-3.8416512678092496,3.222853548590777
0.08,1.655,-2.870809311490949,2.92692506469409
0.08,1.6600000000000001,-1.8231447278765822,2.6666199713847396
0.08,1.665,-0.7078286658692032,2.4423802300879602
0.08,1.67,0.46433762177244486,2.2544112632170252
0.08,1.675,1.6810350563501153,2.1026077709370323
0.08,1.6800000000000002,2.928580574096963,1.986475198678209
0.08,1.685,4.192121361282832,1.9050512138877171
0.08,1.69,5.455867093163732,1.8568322129912769
0.08,1.695,6.703356546800235,1.839710310764594
0.08,1.7,7.917753738670912,1.850926401024143
0.08,1.705,9.082167580373678,1.887044669177448
0.08,1.71,10.17998799197908,1.9439533518648986
0.08,1.715,11.195230505405428,2.0168955688602903
0.08,1.72,12.112880670893727,2.100532717839201
0.08,1.725,12.919229086875509,2.1890412741036758
0.08,1.73,13.602187641418416,2.2762419555013893
0.08,1.735,14.151577610097663,2.3557582054531734
0.08,1.74,14.559380620880244,2.4211989436178314
0.08,1.745,14.819944182335147,2.4663586768798753
0.08,1.75,14.93013447717515,2.4854264982730987
0.12,1.35,-0.6546709218280662,1.8235232339603948
0.12,1.355,-0.6975965711144927,1.9897186718858362
0.12,1.36,-0.7429842296083307,2.158190370867843
0.12,1.365,-0.7908724803392454,2.3284533868444974
0.12,1.37,-0.8412880792893728,2.4999935417069348
0.12,1.375,-0.8942443180064065,2.672269518831543
0.12,1.3800000000000001,-0.9497393199278299,2.844715281894155
0.12,1.385,-1.0077542819567018,3.0167428070262376
0.12,1.3900000000000001,-1.0682516750421758,3.187745114085137
0.12,1.395,-1.1311734198136827,3.357099578537545
0.12,1.4000000000000001,-1.196439055670135,3.5241715012736377
0.12,1.405,-1.2639439241025503,3.6883179096521146
0.12,1.4100000000000001,-1.3335573893945794,3.8488915593011335
0.12,1.415,-1.405121122159349,4.005245102738398
0.12,1.4200000000000002,-1.4784474733885185,4.156735387797392
0.12,1.425,-1.5533179687606604,4.302727846217721
0.12,1.4300000000000002,-1.6294819548294601,4.442600930635262
0.12,1.435,-1.7066554303310166,4.575750556637404
0.12,1.4400000000000002,-1.784520097156877,4.701594505569458
0.12,1.445,-1.86272266647475,4.819576743413643
0.12,1.4500000000000002,-1.94087445598297,4.929171611325597
0.12,1.455,-2.0185513142972464,5.02988784430217
0.12,1.46,-2.0952939079319113,5.121272375954511
0.12,1.465,-2.170608405197157,5.202913889441113
0.12,1.47,-2.2439675895388786,5.274446077235515
0.12,1.475,-2.3148124323536816,5.335550575507234
0.12,1.48,-2.382554152081717,5.385959542416324
0.12,1.485,-2.446576782386469,5.425457853488528
0.12,1.49,-2.5062402674560005,5.453884891366873
0.12,1.495,-2.5608840969002205,5.471135911543198
0.12,1.5,-2.6098314863819327,5.477162970073092
0.12,1.5050000000000001,-2.652394103030755,5.4719754036863595
0.12,1.51,-2.6878773268888363,5.45563985704457
0.12,1.5150000000000001,-2.7155860311848414,5.428279856096802
0.12,1.52,-2.734830855204733,5.390074930485783
0.12,1.5250000000000001,-2.7449349340213884,5.341259291714379
0.12,1.53,-2.745241039475692,5.2821200772665655
0.12,1.5350000000000001,-2.735119076705401,5.2129951740762115
0.12,1.54,-2.7139738703489815,5.13427063765602
0.12,1.5450000000000002,-2.6812531644827757,5.046377725860736
