sigma,u,one_step_curvature,parity_block_curvature
0.12,1.55,-2.6364557505705912,4.949789568703185
0.12,1.5550000000000002,-2.5791396284192163,4.845017497921061
0.12,1.56,-2.508930096558468,4.732607062172834
0.12,1.565,-2.4255276608253062,4.613133755892239
0.12,1.57,-2.328715643460498,4.487198492028136
0.12,1.5750000000000002,-2.2183673699554243,4.355422851208691
0.12,1.58,-2.0944528074454363,4.218444142357306
0.12,1.585,-1.9570445268551004,4.076910312497455
0.12,1.59,-1.8063228614651514,3.9314747464380897
0.12,1.595,-1.6425801372751028,3.782791000225801
0.12,1.6,-1.4662238556361755,3.6315075156502483
0.12,1.605,-1.2777787162478087,3.47826236662249
0.12,1.61,-1.0778873788269907,3.3236780918046556
0.12,1.615,-0.8673098746050849,3.168356671307396
0.12,1.62,-0.6469215942561192,3.012874708408258
0.12,1.625,-0.4177097968304726,2.857778879869193
0.12,1.6300000000000001,-0.18076860460491567,2.7035817203090087
0.12,1.635,0.06270752875449015,2.5507578069704007
0.12,1.6400000000000001,0.31143186498195685,2.3997404108581994
0.12,1.645,0.5640349053919274,2.2509186783768103
0.12,1.65,0.819075328009602,2.104635404044366
0.12,1.655,1.0750522457851583,1.9611854494336747
0.12,1.6600000000000001,1.3304186666133648,1.8208148560648942
0.12,1.665,1.5835960090959351,1.683720690499859
0.12,1.67,1.8329895024776375,1.550051648391158
0.12,1.675,2.0770042756310247,1.4199094308377733
0.12,1.6800000000000002,2.314061919035446,1.2933508913046416
0.12,1.685,2.5426172860532494,1.1703909348840595
0.12,1.69,2.7611752860725676,1.051006134210612
0.12,1.695,2.968307412822637,0.9351390083712652
0.12,1.7,3.1626677468517794,0.8227028932283825
0.12,1.705,3.3430081721606713,0.7135873142982835
0.12,1.71,3.508192553548428,0.6076637573300034
0.12,1.715,3.657209633457653,0.5047917176387473
0.12,1.72,3.7891844249380435,0.4048248976716534
0.12,1.725,3.9033879005652024,0.3076174137680121
0.12,1.73,3.9992448053583898,0.2130298680907321
0.12,1.735,4.0763394543836915,0.12093514060782173
0.12,1.74,4.134419412095376,0.031223759023309983
0.12,1.745,4.173396989712821,-0.05619128822141417
0.12,1.75,4.193348538092023,-0.1413704194021721
