epsilon,vandermonde,one_step_trace,one_step_quotient,one_step_relative_error,six_step_trace,six_step_quotient,six_step_relative_error
0.0005,2.499999999999174e-10,-3.966601187592976e-10,-1.5866404750377145,2.9832265907417072e-05,5.24046605014563e-09,20.961864200589446,3.8141744516975795e-06
0.0007529829273074613,8.538574730947681e-10,-1.3548160653791864e-09,-1.5867004834761431,6.765446290818182e-05,1.7898357860754183e-08,20.961762852390795,8.649040812896135e-06
0.001133966577633027,2.916290337440825e-09,-4.627676247547863e-09,-1.5868366013271695,0.00015344699995227689,6.112991614217345e-08,20.96153299874034,1.9614323840908065e-05
0.001707714946189881,9.960385193352767e-09,-1.5808578508503006e-08,-1.5871452962535155,0.00034801164157834363,2.0877975124428128e-07,20.961011767257155,4.4479931695636114e-05
0.002571760398377521,3.401899732898905e-08,-5.401690965291424e-08,-1.5878454361993823,0.0007892967617069049,7.130324001290798e-07,20.959829980687708,0.00010085764937369517
0.0038729833462074173,1.1618950038622533e-07,-1.8467548439451715e-07,-1.5894335011394116,0.001790224407629398,2.4350009620863807e-06,20.957151498131914,0.00022863599551520373
0.005832580674880616,3.96837092799788e-07,-6.321758242005529e-07,-1.5930361240689208,0.0040608902960870535,8.31416796597071e-06,20.951085764972504,0.0005180048209975787
0.00878366734065707,1.3553692691534745e-06,-2.170233186631152e-06,-1.6012117406104527,0.009213828575002542,2.8377874266796114e-05,20.937374715984326,0.0011720972509761804
0.013227903093325805,4.629168717079505e-06,-7.498232546816969e-06,-1.6197794906787342,0.020916734355152553,9.677977472061575e-05,20.906512731658033,0.002644383604803107
0.019920770386703774,1.5810601213182536e-05,-2.62775418252959e-05,-1.662020404599558,0.047540392787914956,0.0003294567443087957,20.837711347377596,0.005926587954644307
0.03,5.400000000000015e-05,-9.495650938606305e-05,-1.7584538775196814,0.10832060813369941,0.001117134645946087,20.687678628631186,0.013083973627013456
