sigma,folded_dimension,effective_cloud_degree,positive_order,real,imag,radius,angle,expected_radius,expected_angle,radial_error,phase_error
0.01,2048,3,all,0.0003137801111008538,0.00028274974269126005,0.0004223806045670633,0.7334268741964738,,,,
0.01,2048,3,all,0.0003137801111008538,-0.00028274974269126005,0.0004223806045670633,-0.7334268741964738,,,,
0.01,2048,3,all,-0.00026497933819911567,-0.0002847151490748492,0.00038894313952704567,-2.320306669254629,,,,
0.01,2048,3,all,-0.00026497933819911567,0.0002847151490748492,0.00038894313952704567,2.320306669254629,,,,
0.01,2048,3,all,0.00028270166393187487,0.0,0.00028270166393187487,0.0,,,,
0.01,2048,3,all,-0.00014934792448686326,-0.00019600410106019065,0.0002464191757573814,-2.221910061781929,,,,
0.01,2048,3,all,-0.00014934792448686326,0.00019600410106019065,0.0002464191757573814,2.221910061781929,,,,
0.01,2048,3,all,7.330974349670412e-05,-0.00022879716665822242,0.00024025499362631978,-1.2607181679667396,,,,
0.01,2048,3,all,7.330974349670412e-05,0.00022879716665822242,0.00024025499362631978,1.2607181679667396,,,,
0.01,2048,3,all,-0.00023021907046171498,0.0,0.00023021907046171498,3.141592653589793,,,,
0.01,2048,3,all,0.00010160142682391592,0.0001729860323850981,0.00020061659286557966,1.0397384753918588,,,,
0.01,2048,3,all,0.00010160142682391592,-0.0001729860323850981,0.00020061659286557966,-1.0397384753918588,,,,
0.01,2048,3,all,-1.7420696538943337e-05,-0.00016991226527532244,0.00017080298170375568,-1.672966920850589,,,,
0.01,2048,3,all,-1.7420696538943337e-05,0.00016991226527532244,0.00017080298170375568,1.672966920850589,,,,
0.01,2048,3,all,-7.95521789014206e-05,0.00013723996946787248,0.0001586296264494946,2.096123803795437,,,,
0.01,2048,3,all,-7.95521789014206e-05,-0.00013723996946787248,0.0001586296264494946,-2.096123803795437,,,,
0.01,2048,3,all,0.00014748318517868677,-2.0257281945489805e-05,0.0001488678856646721,-0.1364990470738549,,,,
0.01,2048,3,all,0.00014748318517868677,2.0257281945489805e-05,0.0001488678856646721,0.1364990470738549,,,,
0.01,2048,3,all,-0.00012641050626210513,0.0,0.00012641050626210513,3.141592653589793,,,,
0.01,2048,3,all,-8.404751096706181e-05,-3.915821123945217e-05,9.272189389368583e-05,-2.7055905885516567,,,,
0.01,2048,3,all,-8.404751096706181e-05,3.915821123945217e-05,9.272189389368583e-05,2.7055905885516567,,,,
0.01,2048,3,all,2.4389454527532192e-05,8.537695706520533e-05,8.879228733321648e-05,1.2925395695259123,,,,
0.01,2048,3,all,2.4389454527532192e-05,-8.537695706520533e-05,8.879228733321648e-05,-1.2925395695259123,,,,
0.004,5120,3,1,0.5201491425196489,0.4330757370185132,0.676838034139671,0.6943048346946229,0.7718445063460382,0.7853981633974483,-0.09500647220636715,-0.09109332870282538
0.004,5120,3,2,-0.04922982289047359,0.6158032464546951,0.6177679287612536,1.6505707460838495,0.7718445063460382,1.5707963267948966,-0.15407657758478455,0.0797744192889529
0.004,5120,3,3,-0.5366363393953039,0.476928960018243,0.7179413580952657,2.4150347619065085,0.7718445063460382,2.356194490192345,-0.05390314825077247,0.05884027171416362
0.004,5120,3,selected,-0.5366363393953039,-0.476928960018243,0.7179413580952657,-2.4150347619065085,,,,
0.004,5120,3,selected,-0.5366363393953039,0.476928960018243,0.7179413580952657,2.4150347619065085,,,,
0.004,5120,3,selected,0.5201491425196489,0.4330757370185132,0.676838034139671,0.6943048346946229,,,,
0.004,5120,3,selected,0.5201491425196489,-0.4330757370185132,0.676838034139671,-0.6943048346946229,,,,
0.004,5120,3,selected,-0.04922982289047359,-0.6158032464546951,0.6177679287612536,-1.6505707460838495,,,,
0.004,5120,3,selected,-0.04922982289047359,0.6158032464546951,0.6177679287612536,1.6505707460838495,,,,
0.004,5120,3,all,0.07882541256013102,0.4713627640476045,0.47790825583564944,1.4051007934935391,,,,
0.004,5120,3,all,0.07882541256013102,-0.4713627640476045,0.47790825583564944,-1.4051007934935391,,,,
0.004,5120,3,all,0.3604500603520685,-0.1242367662891118,0.38125978034115426,-0.33191972213760546,,,,
0.004,5120,3,all,0.3604500603520685,0.1242367662891118,0.38125978034115426,0.33191972213760546,,,,
0.004,5120,3,all,0.17239584522123955,-0.2576574711198861,0.31001241890195386,-0.9811184219331418,,,,
0.004,5120,3,all,0.17239584522123955,0.2576574711198861,0.31001241890195386,0.9811184219331418,,,,
0.004,5120,3,all,-0.07112446294537053,0.27676805416551925,0.28576081788068003,1.8223355980515694,,,,
0.004,5120,3,all,-0.07112446294537053,-0.27676805416551925,0.28576081788068003,-1.8223355980515694,,,,
0.004,5120,3,all,-0.23739934212885855,-0.1010944070709073,0.2580281511467947,-2.739009766699587,,,,
0.004,5120,3,all,-0.23739934212885855,0.1010944070709073,0.2580281511467947,2.739009766699587,,,,
0.004,5120,3,all,-0.09756408110538317,0.11824059979414338,0.15329575780698096,2.260674800549614,,,,
0.004,5120,3,all,-0.09756408110538317,-0.11824059979414338,0.15329575780698096,-2.260674800549614,,,,
0.004,5120,3,all,-0.15071091228562303,0.0,0.15071091228562303,3.141592653589793,,,,
0.004,5120,3,all,0.05437926657058125,-0.11162677046530567,0.12416779178703459,-1.1174793963391738,,,,
0.004,5120,3,all,0.05437926657058125,0.11162677046530567,0.12416779178703459,1.1174793963391738,,,,
0.004,5120,3,all,-0.030314669503436434,-0.11350625485618793,0.1174846759308654,-1.8317797927205635,,,,
0.004,5120,3,all,-0.030314669503436434,0.11350625485618793,0.1174846759308654,1.8317797927205635,,,,
0.004,5120,3,all,0.10566489698235507,-0.0437386478797714,0.11435969470334528,-0.39246330018328685,,,,
0.004,5120,3,all,0.10566489698235507,0.0437386478797714,0.11435969470334528,0.39246330018328685,,,,
0.004,5120,3,all,0.006509676497316933,-0.05754162997645935,0.057908678697130414,-1.4581454207948945,,,,
0.004,5120,3,all,0.006509676497316933,0.05754162997645935,0.057908678697130414,1.4581454207948945,,,,
0.004,5120,3,all,-0.050068854803774876,-0.02808999417474073,0.05741026035560594,-2.630322628645324,,,,
0.004,5120,3,all,-0.050068854803774876,0.02808999417474073,0.05741026035560594,2.630322628645324,,,,
0.004,5120,3,all,0.0454987374039245,0.01372661403862795,0.04752425736733543,0.2930085446368051,,,,
0.004,5120,3,all,0.0454987374039245,-0.01372661403862795,0.04752425736733543,-0.2930085446368051,,,,
0.004,5120,3,all,-0.0240764347645075,-0.017489842343204113,0.029758516363550803,-2.5133478361491974,,,,
0.004,5120,3,all,-0.0240764347645075,0.017489842343204113,0.029758516363550803,2.5133478361491974,,,,
0.004,5120,3,all,-0.010810217590543975,0.027321376930843157,0.02938228108490073,1.9475633803067893,,,,
0.004,5120,3,all,-0.010810217590543975,-0.027321376930843157,0.02938228108490073,-1.9475633803067893,,,,
0.004,5120,3,all,0.016330836031876298,-0.021582332276666658,0.027064612910597422,-0.9230361580855254,,,,
0.004,5120,3,all,0.016330836031876298,0.021582332276666658,0.027064612910597422,0.9230361580855254,,,,
0.004,5120,3,all,0.022949527269302935,0.0,0.022949527269302935,0.0,,,,
0.004,5120,3,all,-0.012533672148408156,-0.005190785326411059,0.013566030732261617,-2.748950210208941,,,,
0.004,5120,3,all,-0.012533672148408156,0.005190785326411059,0.013566030732261617,2.748950210208941,,,,
0.004,5120,3,all,0.010671560602810812,0.00817151344587268,0.013440827269760662,0.6534913144456348,,,,
0.004,5120,3,all,0.010671560602810812,-0.00817151344587268,0.013440827269760662,-0.6534913144456348,,,,
0.004,5120,3,all,-0.0029354158221569127,-0.01301945989554768,0.013346272963668304,-1.7925520978591605,,,,
0.004,5120,3,all,-0.0029354158221569127,0.01301945989554768,0.013346272963668304,1.7925520978591605,,,,
0.004,5120,3,all,0.009492073509502425,0.0,0.009492073509502425,0.0,,,,
0.004,5120,3,all,0.0045066033852494206,-0.008313587034345617,0.009456490017420898,-1.0740564636932592,,,,
0.004,5120,3,all,0.0045066033852494206,0.008313587034345617,0.009456490017420898,1.0740564636932592,,,,
0.004,5120,3,all,-0.00824716721356799,-0.000686186852442823,0.00827566429025587,-3.058581122651614,,,,
0.004,5120,3,all,-0.00824716721356799,0.000686186852442823,0.00827566429025587,3.058581122651614,,,,
0.004,5120,3,all,-0.0035721861505215438,-0.007145552854186065,0.007988706997126916,-2.0343778475768803,,,,
0.004,5120,3,all,-0.0035721861505215438,0.007145552854186065,0.007988706997126916,2.0343778475768803,,,,
0.004,5120,3,all,-0.003171640068371632,0.005898323979713525,0.006696978907907954,2.064161773989888,,,,
0.004,5120,3,all,-0.003171640068371632,-0.005898323979713525,0.006696978907907954,-2.064161773989888,,,,
0.004,5120,3,all,-0.005730663448886701,0.0032248183308573055,0.006575709606684233,2.6290282155880456,,,,
0.004,5120,3,all,-0.005730663448886701,-0.0032248183308573055,0.006575709606684233,-2.6290282155880456,,,,
0.004,5120,3,all,0.0010130001121386608,0.006241228276693502,0.00632290278503406,1.4098916705590483,,,,
0.004,5120,3,all,0.0010130001121386608,-0.006241228276693502,0.00632290278503406,-1.4098916705590483,,,,
0.004,5120,3,all,0.0054808294621849964,-0.003088691646066825,0.006291224656459032,-0.5131826023272723,,,,
0.004,5120,3,all,0.0054808294621849964,0.003088691646066825,0.006291224656459032,0.5131826023272723,,,,
0.004,5120,3,all,0.0036941263180150404,0.00409981651056102,0.005518610755771791,0.8374032142900733,,,,
0.004,5120,3,all,0.0036941263180150404,-0.00409981651056102,0.005518610755771791,-0.8374032142900733,,,,
0.004,5120,3,all,-0.00412892147731074,0.0012138247661986831,0.004303645330279343,2.855666916854789,,,,
0.004,5120,3,all,-0.00412892147731074,-0.0012138247661986831,0.004303645330279343,-2.855666916854789,,,,
0.004,5120,3,all,0.00410260401779494,0.0012702731409477595,0.00429475884997522,0.3002644841231156,,,,
0.004,5120,3,all,0.00410260401779494,-0.0012702731409477595,0.00429475884997522,-0.3002644841231156,,,,
0.004,5120,3,all,0.004109063899311045,0.0,0.004109063899311045,0.0,,,,
0.004,5120,3,all,7.20275623057598e-06,0.004099977818228279,0.0040999841450499825,1.5690395492853515,,,,
0.004,5120,3,all,7.20275623057598e-06,-0.004099977818228279,0.0040999841450499825,-1.5690395492853515,,,,
0.004,5120,3,all,-0.0022765256611965517,0.003082846688957198,0.0038322986305480886,2.206863842977902,,,,
0.004,5120,3,all,-0.0022765256611965517,-0.003082846688957198,0.0038322986305480886,-2.206863842977902,,,,
0.004,5120,3,all,-0.0028654240790532658,0.0021830662308005414,0.003602281682611722,2.4905411092576304,,,,
0.004,5120,3,all,-0.0028654240790532658,-0.0021830662308005414,0.003602281682611722,-2.4905411092576304,,,,
0.004,5120,3,all,-0.00035579952231122743,0.0033991354976816712,0.003417706165204452,1.6750900667205142,,,,
0.004,5120,3,all,-0.00035579952231122743,-0.0033991354976816712,0.003417706165204452,-1.6750900667205142,,,,
0.004,5120,3,all,0.002266593695478447,-0.0023467206514774797,0.0032625978600577684,-0.802765048493329,,,,
0.004,5120,3,all,0.002266593695478447,0.0023467206514774797,0.0032625978600577684,0.802765048493329,,,,
0.004,5120,3,all,0.003160097540790269,0.0,0.003160097540790269,0.0,,,,
0.004,5120,3,all,-0.0027722488230305714,0.00039628694261323376,0.002800429766603714,2.999606730552816,,,,
0.002,10240,4,1,0.5888148795547956,0.3910325370547619,0.7068305365648914,0.5862242531866082,0.7718445063460382,0.6283185307179586,-0.06501396978114682,-0.04209427753135042
0.002,10240,4,2,0.205401161583103,0.64792110043906,0.6796994847532625,1.2638028158067942,0.7718445063460382,1.2566370614359172,-0.09214502159277571,0.007165754370876964
0.002,10240,4,3,-0.23120378944110784,0.6618017218359871,0.7010254712041534,1.9068964862790214,0.7718445063460382,1.8849555921538759,-0.07081903514188481,0.02194089412514555
0.002,10240,4,4,-0.5989832929492129,0.4281636392068071,0.7362778600305048,2.520991239165331,0.7718445063460382,2.5132741228718345,-0.03556664631553341,0.007717116293496584
0.002,10240,4,selected,-0.5989832929492129,0.4281636392068071,0.7362778600305048,2.520991239165331,,,,
0.002,10240,4,selected,-0.5989832929492129,-0.4281636392068071,0.7362778600305048,-2.520991239165331,,,,
0.002,10240,4,selected,0.5888148795547956,0.3910325370547619,0.7068305365648914,0.5862242531866082,,,,
0.002,10240,4,selected,0.5888148795547956,-0.3910325370547619,0.7068305365648914,-0.5862242531866082,,,,
0.002,10240,4,selected,-0.23120378944110784,-0.6618017218359871,0.7010254712041534,-1.9068964862790214,,,,
0.002,10240,4,selected,-0.23120378944110784,0.6618017218359871,0.7010254712041534,1.9068964862790214,,,,
0.002,10240,4,selected,0.205401161583103,0.64792110043906,0.6796994847532625,1.2638028158067942,,,,
0.002,10240,4,selected,0.205401161583103,-0.64792110043906,0.6796994847532625,-1.2638028158067942,,,,
0.002,10240,4,all,0.3712110699474874,0.0,0.3712110699474874,0.0,,,,
0.002,10240,4,all,0.2804172432444375,0.20140135610005808,0.34524822453960924,0.6228499734062444,,,,
0.002,10240,4,all,0.2804172432444375,-0.20140135610005808,0.34524822453960924,-0.6228499734062444,,,,
0.002,10240,4,all,0.14700818855780023,-0.30707554581616225,0.34045087507794675,-1.1243039806905224,,,,
0.002,10240,4,all,0.14700818855780023,0.30707554581616225,0.34045087507794675,1.1243039806905224,,,,
0.002,10240,4,all,-0.3217854390348216,0.0,0.3217854390348216,3.141592653589793,,,,
0.002,10240,4,all,-0.026500343794052972,-0.3159504322594347,0.3170598427207814,-1.6544754696019026,,,,
0.002,10240,4,all,-0.026500343794052972,0.3159504322594347,0.3170598427207814,1.6544754696019026,,,,
0.002,10240,4,all,-0.2250041593651116,-0.21251213619830048,0.3094968170485208,-2.384738867516766,,,,
0.002,10240,4,all,-0.2250041593651116,0.21251213619830048,0.3094968170485208,2.384738867516766,,,,
0.002,10240,4,all,0.18750998751939818,0.0,0.18750998751939818,0.0,,,,
0.002,10240,4,all,-0.06831003000727848,-0.1491034462102298,0.16400639582455978,-2.0003975884887257,,,,
0.002,10240,4,all,-0.06831003000727848,0.1491034462102298,0.16400639582455978,2.0003975884887257,,,,
0.002,10240,4,all,-0.14226566730280119,-0.05767316098612034,0.15351128164158576,-2.756447882417034,,,,
0.002,10240,4,all,-0.14226566730280119,0.05767316098612034,0.15351128164158576,2.756447882417034,,,,
0.002,10240,4,all,0.05742391241184544,0.13871820311062052,0.15013409203416347,1.1783129239182002,,,,
0.002,10240,4,all,0.05742391241184544,-0.13871820311062052,0.15013409203416347,-1.1783129239182002,,,,
0.002,10240,4,all,0.11736977647414629,-0.07344108626223221,0.13845308801528297,-0.5591197766726869,,,,
0.002,10240,4,all,0.11736977647414629,0.07344108626223221,0.13845308801528297,0.5591197766726869,,,,
0.002,10240,4,all,-0.028912957497167987,-0.12105401096637507,0.12445895983126445,-1.8052474590488616,,,,
0.002,10240,4,all,-0.028912957497167987,0.12105401096637507,0.12445895983126445,1.8052474590488616,,,,
0.002,10240,4,all,0.009652957045102672,0.07059321620473229,0.07125013511455733,1.434898573119931,,,,
0.002,10240,4,all,0.009652957045102672,-0.07059321620473229,0.07125013511455733,-1.434898573119931,,,,
0.002,10240,4,all,0.06329278527119779,0.02517241342137373,0.06811480797038562,0.3785339528150593,,,,
0.002,10240,4,all,0.06329278527119779,-0.02517241342137373,0.06811480797038562,-0.3785339528150593,,,,
0.002,10240,4,all,-0.047716930741391134,0.04718352009558914,0.06710581232642655,2.3618151697982803,,,,
0.002,10240,4,all,-0.047716930741391134,-0.04718352009558914,0.06710581232642655,-2.3618151697982803,,,,
0.002,10240,4,all,-0.06209016948565633,0.0,0.06209016948565633,3.141592653589793,,,,
0.002,10240,4,all,-0.04086804094392093,0.0,0.04086804094392093,3.141592653589793,,,,
0.002,10240,4,all,-0.022705619944232636,-0.03225554193713021,0.03944572426397949,-2.1841545170425434,,,,
0.002,10240,4,all,-0.022705619944232636,0.03225554193713021,0.03944572426397949,2.1841545170425434,,,,
0.002,10240,4,all,0.0067660836883730825,0.0342075730341768,0.03487030171028934,1.3755219460812182,,,,
0.002,10240,4,all,0.0067660836883730825,-0.0342075730341768,0.03487030171028934,-1.3755219460812182,,,,
0.002,10240,4,all,0.030761227073657717,0.0,0.030761227073657717,0.0,,,,
0.002,10240,4,all,0.02549926919212754,-0.014654886509720652,0.029410515601488135,-0.5216222503409781,,,,
0.002,10240,4,all,0.02549926919212754,0.014654886509720652,0.029410515601488135,0.5216222503409781,,,,
0.002,10240,4,all,0.021216774631208603,-0.018656683409096143,0.028252846964133372,-0.7212807736924051,,,,
0.002,10240,4,all,0.021216774631208603,0.018656683409096143,0.028252846964133372,0.7212807736924051,,,,
0.002,10240,4,all,-0.022599419135092835,-0.013460414084335525,0.026304305589872134,-2.6044081945861453,,,,
0.002,10240,4,all,-0.022599419135092835,0.013460414084335525,0.026304305589872134,2.6044081945861453,,,,
0.002,10240,4,all,-0.007700399876080372,0.022269499686263128,0.02356325050853579,1.903708841886933,,,,
0.002,10240,4,all,-0.007700399876080372,-0.022269499686263128,0.02356325050853579,-1.903708841886933,,,,
0.002,10240,4,all,0.001858273412599614,-0.022731786407822502,0.02280761481099763,-1.4892299039484662,,,,
0.002,10240,4,all,0.001858273412599614,0.022731786407822502,0.02280761481099763,1.4892299039484662,,,,
0.002,10240,4,all,-0.02217526432968723,0.0021257902621770386,0.022276923762725085,3.0460215667245225,,,,
0.002,10240,4,all,-0.02217526432968723,-0.0021257902621770386,0.022276923762725085,-3.0460215667245225,,,,
0.002,10240,4,all,0.02192871384195544,-0.0034653326149477076,0.02220083378827445,-0.15673108725776524,,,,
0.002,10240,4,all,0.02192871384195544,0.0034653326149477076,0.02220083378827445,0.15673108725776524,,,,
0.002,10240,4,all,0.011027074093042988,-0.019123181931222533,0.022074701588653375,-1.0477350294563328,,,,
0.002,10240,4,all,0.011027074093042988,0.019123181931222533,0.022074701588653375,1.0477350294563328,,,,
0.002,10240,4,all,0.00470528211550625,0.020817861347338488,0.02134298551898288,1.3485099164799972,,,,
0.002,10240,4,all,0.00470528211550625,-0.020817861347338488,0.02134298551898288,-1.3485099164799972,,,,
0.002,10240,4,all,-0.009384704971082772,0.018554123944058844,0.020792503522321773,2.0390744108719137,,,,
0.002,10240,4,all,-0.009384704971082772,-0.018554123944058844,0.020792503522321773,-2.0390744108719137,,,,
0.002,10240,4,all,0.015351760083582803,0.009297927953636272,0.017947924723903236,0.5445699665612862,,,,
0.002,10240,4,all,0.015351760083582803,-0.009297927953636272,0.017947924723903236,-0.5445699665612862,,,,
0.002,10240,4,all,-0.015179768624870891,0.009449978508079389,0.017880924733015825,2.584765928311387,,,,
0.002,10240,4,all,-0.015179768624870891,-0.009449978508079389,0.017880924733015825,-2.584765928311387,,,,
0.002,10240,4,all,-0.010932984506837412,-0.012618768784409899,0.01669621142238995,-2.2847384887143307,,,,
0.002,10240,4,all,-0.010932984506837412,0.012618768784409899,0.01669621142238995,2.2847384887143307,,,,
0.002,10240,4,all,-0.00011933649195623838,-0.01612778895911122,0.016128230464249396,-1.5781956246388495,,,,
0.002,10240,4,all,-0.00011933649195623838,0.01612778895911122,0.016128230464249396,1.5781956246388495,,,,
0.002,10240,4,all,0.009999138631080597,-0.01249653256892162,0.016004564961587902,-0.8959620692637698,,,,
0.002,10240,4,all,0.009999138631080597,0.01249653256892162,0.016004564961587902,0.8959620692637698,,,,
0.002,10240,4,all,-0.015753320910936106,0.0,0.015753320910936106,3.141592653589793,,,,
0.002,10240,4,all,0.015029985349376945,0.0,0.015029985349376945,0.0,,,,
0.002,10240,4,all,-0.0115470407455598,-0.004372481415110249,0.012347175535526445,-2.7796111025301773,,,,
0.002,10240,4,all,-0.0115470407455598,0.004372481415110249,0.012347175535526445,2.7796111025301773,,,,
0.002,10240,4,all,0.009798884406665874,0.00719220406202253,0.012155078563504762,0.6331704780845595,,,,
0.002,10240,4,all,0.009798884406665874,-0.00719220406202253,0.012155078563504762,-0.6331704780845595,,,,
0.001,20480,5,1,0.6261134142754627,0.35167743928429085,0.718119090985077,0.5117688311857402,0.7718445063460382,0.5235987755982988,-0.053725415360961204,-0.01182994441255858
0.001,20480,5,2,0.31975981719802926,0.5915030229452559,0.6724003025340582,1.0752074274485377,0.7718445063460382,1.0471975511965976,-0.09944420381197994,0.02800987625194007
0.001,20480,5,3,-0.0030997322100074845,0.6594956479298192,0.6595029325015513,1.5754964478558418,0.7718445063460382,1.5707963267948966,-0.11234157384448684,0.004700121060945195
0.001,20480,5,4,-0.33034232043061396,0.6118993471736208,0.6953753373099925,2.0658241509253883,0.7718445063460382,2.0943951023931953,-0.07646916903604573,-0.02857095146780697
0.001,20480,5,5,-0.6306999070017794,0.38541904577744274,0.7391415382320544,2.593053265950978,0.7718445063460382,2.6179938779914944,-0.032702968113983766,-0.024940612040516452
0.001,20480,5,selected,-0.6306999070017794,0.38541904577744274,0.7391415382320544,2.593053265950978,,,,
0.001,20480,5,selected,-0.6306999070017794,-0.38541904577744274,0.7391415382320544,-2.593053265950978,,,,
0.001,20480,5,selected,0.6261134142754627,-0.35167743928429085,0.718119090985077,-0.5117688311857402,,,,
0.001,20480,5,selected,0.6261134142754627,0.35167743928429085,0.718119090985077,0.5117688311857402,,,,
0.001,20480,5,selected,-0.33034232043061396,-0.6118993471736208,0.6953753373099925,-2.0658241509253883,,,,
0.001,20480,5,selected,-0.33034232043061396,0.6118993471736208,0.6953753373099925,2.0658241509253883,,,,
