sigma,folded_dimension,dimension_times_sigma,nonzeros,row_sum_error,parity_real,effective_cloud_degree,cloud_eigenvalue_count,half_localization_horizon,degree_defect_from_half_horizon,threshold_radius,cloud_radial_mean,cloud_center_zero_radius,cloud_radial_mean_error,cloud_radial_rms_error,cloud_phase_rms_error,cloud_separating_radial_gap,bulk_radius,exact_bulk_trace_two,captured_bulk_trace_two_real,captured_bulk_trace_two_imag,trace_two_capture_error,build_seconds,eigensolve_seconds
0.01,2048,20.48,618816,4.440892098500626e-16,-0.9865534036028727,3,6,4.445622727523028,1.4456227275230278,0.7718445063460382,0.6078407249427005,1.6451678194057617,-0.1640037814033377,0.1751801719668183,0.07932620505177362,0.19177378527903283,0.6746693518397261,-0.7918821360861181,-0.7918821452886091,-2.42861286636753e-17,-9.202490991455647e-09,0.09138035774230957,0.2286229133605957
0.004,5120,20.48,1611611,4.440892098500626e-16,-0.9922077933553364,3,6,5.330168300894587,2.330168300894587,0.7718445063460382,0.67084910699873,1.4906481794003388,-0.10099539934730817,0.10904337197140733,0.07772629345433298,0.1398596729256042,0.7179413580952657,-0.8041322063206194,-0.8041268638836054,0.0,5.3424370139998345e-06,0.17426204681396484,0.5016884803771973
0.002,10240,20.48,3282563,4.440892098500626e-16,-0.994738800248589,4,8,5.999301196089564,1.9993011960895641,0.7718445063460382,0.7059583381382031,1.4165141850116278,-0.0658861682078351,0.06891633213469564,0.02431168934632213,0.3344512602136533,0.7362778600305048,-0.8093120476897395,-0.8090509754148624,-2.42861286636753e-17,0.0002610722748771499,0.3393397331237793,1.0347669124603271
0.001,20480,20.48,6644373,4.440892098500626e-16,-0.9963892766274198,5,10,6.66843409128454,1.6684340912845403,0.7718445063460382,0.6969078403125467,1.4349099581825964,-0.07493666603349147,0.08039056795158281,0.02183998757862329,0.30425113408270893,0.7391415382320545,-0.8126360445980293,-0.8102267638727603,1.214306433183765e-17,0.002409280725269025,0.6572716236114502,2.1553056240081787
0.0005,40960,20.48,13396183,4.440892098500626e-16,-0.9974997589374873,5,10,7.337566986479517,2.3375669864795174,0.7718445063460382,0.7085863057728007,1.411260691680143,-0.0632582005732375,0.0698204519306356,0.04522417105016162,0.1815614606153083,0.7480149959741871,-0.8148596430274677,-0.8127616791479204,-2.7755575615628914e-17,0.0020979638795473043,1.3113758563995361,4.326728820800781
0.0002,102400,20.48,33720729,5.551115123125783e-16,-0.998450950859942,6,12,8.222112559851078,2.2221125598510785,0.7718445063460382,0.7244679979244436,1.3803232204389133,-0.047376508421594576,0.05148202301046534,0.02636066784819697,0.282524077057825,0.7547488160013469,-0.8167608126683519,-0.8269402854272414,5.551115123125783e-17,-0.01017947275888953,3.2146975994110107,13.811177968978882
0.0001,204800,20.48,67667810,5.551115123125783e-16,-0.9989168379764619,7,14,8.891245455046056,1.8912454550460556,0.7718445063460382,0.7302687845096624,1.369358818577256,-0.04157572183637581,0.04474181114626608,0.011237218058176728,0.31036736484287053,0.7570230789796144,-0.8176917373617628,-0.8378837053897643,1.734723475976807e-16,-0.020191968028001495,6.395303964614868,27.7905695438385
