sigma,folded_dimension,dimension_times_sigma,effective_cloud_degree,cloud_radial_mean,cloud_phase_rms_error,bulk_radius
0.001,10240,10.24,5,0.6968920334869647,0.021817959240999836,0.7391542162445753
0.001,20480,20.48,5,0.6969078403125453,0.0218399875786238,0.7391415382320523
0.001,30720,30.72,5,0.6969107112459494,0.02184411297600769,0.7391391877326556
