sigma,folded_dimension,component_period,endpoint_overlap_modulus,endpoint_one_minus_overlap,endpoint_normalized_gram_condition,endpoint_dual_norm_lower_bound,endpoint_right_to_left_history_norm,branch_dark_to_bright_ratio,branch_bright_one_step_radius,half_weight_one_step_radius,cubic_phase_one_step_radius,left_branch_one_step_radius,archived_bulk_radius,elapsed_seconds
0.01,2048,3,0.6508391002584921,0.3491608997415079,4.728018233085799,1.6923383575818696,0.9751920409239483,0.04072401751446049,0.7981445869829871,0.702799675924052,0.7233572731057368,0.7407671342623723,0.6746693518397261,0.13633060455322266
0.004,5120,4,0.8750330462558225,0.12496695374417754,15.004231039305337,2.828801074599037,0.9124573313741873,0.019964770996991746,0.7943308415697848,0.7254056551010877,0.7329831516117268,0.745591937034988,0.7179413580952657,0.2993326187133789
0.002,10240,5,0.9705428265312489,0.029457173468751097,66.89517677660587,5.826455902888387,1.0322718539974836,0.0002697571528872255,0.8013124091334491,0.7485225225853929,0.7485502774281603,0.7496913462936622,0.7362778600305048,0.6462256908416748
0.001,20480,6,0.9940919528361806,0.00590804716381943,337.5213327760643,13.010021767392711,1.0228757784279434,4.010789718654427e-05,0.7912538147072765,0.7472445434064443,0.7472452833504415,0.7470690511660122,0.7391415382320545,1.393510103225708
0.0005,40960,6,0.9844043677815741,0.015595632218425859,127.24103389903287,8.007528766699277,0.7639094865280989,0.013545655622157806,0.7776510760286003,0.7329284874022509,0.7424027696577947,0.7513457744313061,0.7480149959741871,2.777231454849243
0.0002,102400,7,0.9949649850190836,0.005035014980916408,396.2182818880086,14.09287553851251,0.827290008971096,0.0039942248747347675,0.7843932939708796,0.746154315055359,0.748676362029632,0.7551075673832436,0.7547488160013469,7.487116575241089
0.0001,204800,8,0.9988584955675084,0.0011415044324916135,1751.0737923325526,29.59792047030123,1.0049672153187799,1.4473434090606356e-05,0.7897058594989138,0.7563353895581676,0.7563358794104972,0.7564594838651771,0.7570230789796144,16.211646795272827
