sigma,folded_dimension,component_period,slice_index,distance_from_critical,overlap_modulus,one_minus_overlap,bright_singular_value,dark_singular_value,synthesis_condition,normalized_gram_condition,dual_norm_lower_bound,right_to_left_history_norm
0.01,2048,3,0,2,0.6508391002584921,0.3491608997415079,1.2848498356845022,0.5908983836003513,2.1744006606616453,4.728018233085799,1.6923383575818696,0.9751920409239483
0.01,2048,3,1,1,0.16075890070248364,0.8392410992975163,1.0773852146296068,0.9161010311627841,1.176055017929746,1.3831054051977352,1.0915826595356246,0.9766782260126736
0.01,2048,3,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
0.004,5120,4,0,3,0.8750330462558225,0.12496695374417754,1.369318460496251,0.35350665304089757,3.873529532520094,15.004231039305337,2.828801074599037,0.9124573313741873
0.004,5120,4,1,2,0.4324847844217846,0.5675152155782154,1.1968645639427147,0.753336057532238,1.588752525484281,2.524134587232681,1.3274288280794344,0.9282814533653913
0.004,5120,4,2,1,0.08522328373687856,0.9147767162631214,1.041740506909892,0.9564396040854443,1.0891858748425762,1.1863258699565882,1.045544324731522,0.9716018283559085
0.004,5120,4,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004
0.002,10240,5,0,4,0.9705428265312489,0.029457173468751097,1.4037602453878115,0.17163092223941204,8.178947167979866,66.89517677660587,5.826455902888387,1.0322718539974838
0.002,10240,5,1,3,0.8016426401983764,0.1983573598016236,1.3422528227567176,0.44537328141865856,3.0137704230509885,9.082812162856934,2.2453075694497775,1.030958497314073
0.002,10240,5,2,2,0.32897217497641273,0.6710278250235873,1.152810554677746,0.8191628806431522,1.4073032139501191,1.9805023359943348,1.2207584396583822,1.0273347420234293
0.002,10240,5,3,1,0.08419955089533626,0.9158004491046637,1.0412490340429308,0.9569746334698029,1.0880633588662276,1.1838818729072573,1.0449597774333845,1.0199592277682217
0.002,10240,5,4,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
0.001,20480,6,0,5,0.9940919528361806,0.00590804716381943,1.4121232073853118,0.07686382220407355,18.37175366632332,337.5213327760643,13.010021767392711,1.0228757784279434
0.001,20480,6,1,4,0.9544584073422289,0.045541592657771135,1.398019458856789,0.21340476250021023,6.551022772302993,42.91589936323239,4.6859310367968705,1.02228468455211
0.001,20480,6,2,3,0.7229385569296319,0.27706144307036806,1.3126075410912554,0.5263662632334714,2.4937151804294957,6.218615401104512,1.8998178071994842,1.0209796833432916
0.001,20480,6,3,2,0.2676535774055676,0.7323464225944324,1.1259012289741794,0.8557724128496036,1.3156549709578558,1.7309480026061164,1.168534980778521,1.0164310283033229
0.001,20480,6,4,1,0.07850681417027872,0.9214931858297213,1.0385118266877267,0.9599443660075938,1.0818458480118955,1.1703904388605775,1.04172703691048,1.0117505491197676
0.001,20480,6,5,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004
0.0005,40960,6,0,5,0.9844043677815741,0.015595632218425859,1.4086888825363726,0.12488247362390713,11.280116750239461,127.24103389903287,8.007528766699277,0.7639094865280989
0.0005,40960,6,1,4,0.8854056013298215,0.11459439867017851,1.3731007251217302,0.3385179443843096,4.0562125225565255,16.45286002814437,2.954053150177259,0.7685430756690862
0.0005,40960,6,2,3,0.4542714118799021,0.545728588120098,1.2059317608720246,0.7387344503406471,1.63242929893948,2.664825416036042,1.3536663946549095,0.8000648214509506
0.0005,40960,6,3,2,0.08684820312080724,0.9131517968791928,1.042520121206688,0.9555897639045705,1.0909703730468159,1.1902163548659086,1.0464741647231213,0.8894813495059938
0.0005,40960,6,4,1,0.02212626473624708,0.9778737352637529,1.0110026037237723,0.9888749846485919,1.0223765586334896,1.0452538276432572,1.0112501737066,0.958317463586895
0.0005,40960,6,5,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004
0.0002,102400,7,0,6,0.9949649850190836,0.005035014980916408,1.4124322939592835,0.07095783946060089,19.905232525343898,396.2182818880086,14.09287553851251,0.8272900089710958
0.0002,102400,7,1,5,0.9610472002744942,0.038952799725505804,1.400373950155634,0.1973646364613119,7.09536406959177,50.34419128005388,5.066763823193947,0.8284999136105161
0.0002,102400,7,2,4,0.745650314330158,0.25434968566984195,1.3212306060374768,0.5043309287262104,2.619769145181144,6.863190374043141,1.9828250520460877,0.8376848644056124
0.0002,102400,7,3,3,0.23551360621118772,0.7644863937888122,1.1115365968834259,0.8743491258009081,1.2712731837699878,1.6161355077726811,1.1437078970988792,0.8836365831291536
0.0002,102400,7,4,2,0.04968013148541327,0.9503198685145867,1.0245389848538773,0.9748435097566105,1.0509779001448902,1.104554546592963,1.0258056703374578,0.9459408881113143
0.0002,102400,7,5,1,0.015283502882228982,0.984716497117771,1.0076127742750332,0.9923288250966869,1.015402101392003,1.0310414275112953,1.0077304767424908,0.9831209444133033
0.0002,102400,7,6,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004
0.0001,204800,8,0,7,0.9988584955675084,0.0011415044324916135,1.4138099220077316,0.033786157409383115,41.84583363170762,1751.0737923325526,29.59792047030123,1.0049672153187799
0.0001,204800,8,1,6,0.990993690273176,0.009006309726824036,1.4110257581891181,0.0949015791587476,14.868306414889158,221.0665356470341,10.537232455607926,1.00496506753463
0.0001,204800,8,2,5,0.9321973848058053,0.06780261519419473,1.3900350300642805,0.26038935307380506,5.33829441816804,28.497387295044053,3.8404027975619988,1.005035007017089
0.0001,204800,8,3,4,0.6250824446574386,0.37491755534256144,1.2747872154432043,0.612305116214589,2.081947678837361,4.334506137416275,1.6331727002090557,1.0054071102713316
0.0001,204800,8,4,3,0.18630974712222292,0.8136902528777771,1.0891784734937717,0.9020478107493954,1.2074509360971826,1.4579377630819625,1.1085886890731753,1.0055800557720065
0.0001,204800,8,5,2,0.053413506444552,0.946586493555448,1.0263593456701956,0.9729267667997669,1.0549194252782084,1.1128549938293055,1.0278265889315439,1.0051621675535936
0.0001,204800,8,6,1,0.018000562302874952,0.981999437697125,1.0089601391050467,0.990958847630478,1.0181655287882159,1.0366610440125872,1.0091236405942998,1.0042657227456275
0.0001,204800,8,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
