sigma,folded_dimension,component_period,window_multiple,packet_rank,packet_gram_condition,analysis_norm,packet_component_norm,external_to_packet_component_ratio,spectral_packet_weight_modulus,direct_closest_distance,self_energy_to_target_coordinate_ratio,physical_self_energy_to_target_packet_ratio,external_resolvent_lower_bound,packet_closure_residual,external_equation_residual
0.01,2048,3,4.5,4,1.5560779690937532,1.2792694875568524,0.33725271160043624,2.7936265393966337,1.0224427685388322,0.19163634621423192,0.8564957166223252,0.7541761062691128,5.10786074652184,3.821522165759351e-15,9.447183606993691e-15
0.01,2048,3,5.0,4,1.6126812418977643,1.3118409929601664,0.34468609794732824,2.724011133300488,1.0790192948889972,0.20808026583642464,0.8929773188207943,0.7822467338563243,5.02767499303848,3.5433003492882248e-15,9.387137416829323e-15
0.01,2048,3,6.0,4,1.7356198601071027,1.3826458060732378,0.35075796180702207,2.667876204998966,1.1810697792764209,0.2480796555663635,0.9474747169754033,0.8287861328568902,5.248691492434089,3.100365928874097e-15,9.744095421011825e-15
0.01,2048,3,7.0,4,1.8442364415557526,1.4451642120228971,0.34924435657187,2.6784929403611337,1.2059984604486105,0.2749621760447605,1.0154127838671356,0.8947346356546216,5.477948547453247,3.2169504222591997e-15,1.0145564719364634e-14
0.01,2048,3,8.0,4,1.860275067920593,1.4542401182817752,0.347059455418988,2.69747785164529,1.203010137904148,0.27721029714670203,1.0272243030245685,0.9038944083880158,5.518599283464983,2.709599119239465e-15,1.0396345313699662e-14
0.004,5120,4,4.5,5,1.349840905000495,1.1588962478576093,0.2690882639065135,3.5792246169896154,1.141988844685872,0.09019799535704803,0.5642065214039136,0.5184373779099658,7.397439572146971,9.68799914274935e-15,1.326140995088091e-14
0.004,5120,4,5.0,5,1.375854564199999,1.174226814730907,0.27773938477739146,3.458446100150598,1.205839586988385,0.10421617114868399,0.5708033787091468,0.5224918948914448,7.244960412180016,6.826776443644114e-15,1.2965678558111809e-14
0.004,5120,4,6.0,5,1.4325194210815435,1.2080698078190952,0.2916765627607651,3.2781748970116906,1.3202111244745798,0.13622922156868725,0.5831993530022903,0.5322451500262081,7.1122960208854655,1.0672384281558176e-14,1.2920963815047022e-14
0.004,5120,4,7.0,5,1.480961338085155,1.2373175226321285,0.29233121555960584,3.269443887902511,1.3598970340520795,0.15589593258450016,0.6133065919659587,0.5617129104856489,7.115229196870874,1.043392179985991e-14,1.2995345952590433e-14
0.004,5120,4,8.0,5,1.48988034613051,1.242637444795612,0.29052031489068414,3.291682040034805,1.3607334696454967,0.1580011018123994,0.6151615461116268,0.5629481367569266,7.150038046833927,6.9873334842692285e-15,1.3039869082015254e-14
0.002,10240,5,4.5,6,1.3188389638103928,1.1169013165629826,0.23278486294169956,4.176975435603079,1.3145443737251388,0.08461329324286591,0.33695591140549935,0.32265100971724514,9.806287406790952,2.115752555072599e-14,2.8227731467410087e-14
0.002,10240,5,5.0,6,1.3400174732480195,1.12797827366677,0.2356160710825821,4.123748154080942,1.354301788453003,0.09683633347804822,0.3365206223981327,0.3221444975323462,9.624449598514488,1.5565676600322836e-14,2.803437497901209e-14
0.002,10240,5,6.0,6,1.3623795825094338,1.1397541578477992,0.23420477541355084,4.150032779939651,1.377822239705814,0.105829125757428,0.32134980170929617,0.3081147493864043,9.619990684931038,1.8214339704721235e-14,2.7928284845723076e-14
0.002,10240,5,7.0,6,1.3637058205372687,1.1404324614583479,0.23412639407837635,4.151499160204997,1.3795460778112765,0.10625218383950653,0.3205216786885238,0.3073678901279387,9.616061160327341,1.923748178691425e-14,2.7858532827034433e-14
0.002,10240,5,8.0,6,1.3637108114716336,1.140434790874356,0.23412673469046294,4.151492705880061,1.3795591166762444,0.10625405988583776,0.320522954862747,0.30736900962873354,9.615995301758213,1.5826346096794074e-14,2.798109476613681e-14
0.001,20480,6,4.5,7,1.2694276963816233,1.0848147399927905,0.17219305773174437,5.720478679842463,1.4833573433537863,0.0887589404486097,0.25263284957492294,0.2646157623526909,13.883019302684863,1.5357066172773007e-14,2.8137314451611725e-14
0.001,20480,6,5.0,7,1.272163710887725,1.086076344643352,0.1725690782979859,5.7076400990765555,1.4914424626341933,0.08989683225892309,0.2518655854496269,0.2639948279936287,13.809375503196645,1.594855034037816e-14,2.808306348555178e-14
0.001,20480,6,6.0,7,1.2724673272264686,1.0862092104929408,0.17259337466080632,5.706811880861927,1.4925050802196238,0.0900483381929804,0.25175902743957973,0.26390193010475327,13.8008589588182,1.4905662413402066e-14,2.79765145329518e-14
0.001,20480,6,7.0,7,1.2724677037759695,1.0862093397213395,0.17259330372387394,5.706814299549444,1.4925067634322462,0.0900486414090875,0.2517592632178934,0.2639022157199793,13.80085803664488,1.5538745313951738e-14,2.7890903895987938e-14
0.001,20480,6,8.0,7,1.2724677040524157,1.086209339797785,0.17259330370332326,5.706814300249786,1.4925067649381918,0.09004864163721554,0.2517592635238838,0.263902216053715,13.800858033621271,1.432033951581826e-14,2.804635703318797e-14
0.0005,40960,6,4.5,7,1.1353383204247207,1.0505224179353965,0.11687529468239875,8.49766100058893,1.251233956078481,0.02764633915876893,0.416976491751002,0.409728801341923,19.91085767386516,1.0835163141114997e-14,6.2929943471388e-14
0.0005,40960,6,5.0,7,1.142925018923487,1.0550216501637546,0.12074762427390574,8.221365227694658,1.3098528570221786,0.03270841909170965,0.41102847717893193,0.4030610240026639,19.27400577564294,1.2601945647002428e-14,6.090324584692829e-14
0.0005,40960,6,6.0,7,1.1579219410648292,1.0641176496136808,0.12782822739375,7.7591500783803315,1.4245969284222584,0.05095680031785807,0.40030443905969615,0.39080668979835415,18.336274800860807,1.1656067879228788e-14,5.795212955305181e-14
0.0005,40960,6,7.0,7,1.1729664956562873,1.0735776127718462,0.13291221500179604,7.457416430698411,1.5149087842224023,0.07022276674510955,0.397275835377951,0.3865311366269277,17.734899737209155,1.3541686143338164e-14,5.6011981313928676e-14
0.0005,40960,6,8.0,7,1.1841608331773208,1.080829287545545,0.13395599631145574,7.398283898810086,1.5531377782694664,0.07892371765548375,0.4045237534192578,0.39288776161640004,17.437306879799753,1.1009286192793638e-14,5.513356685053239e-14
0.0002,102400,7,4.5,8,1.108541487271695,1.0339657871668988,0.08039249602023728,12.398783684567452,1.3474091819137752,0.01738416345037755,0.3537118069027422,0.35174022480553513,30.221210736329954,1.8096258079766764e-14,1.147040869729963e-13
0.0002,102400,7,5.0,8,1.1143864168516178,1.0370800196109606,0.08318749969494876,11.979502313545202,1.4087006543926188,0.027520890736031752,0.3444534954491294,0.34203939350104373,29.108773254046213,1.8381153001802178e-14,1.1049849717177929e-13
0.0002,102400,7,6.0,8,1.1258694810100887,1.043412746920209,0.08802829236329912,11.316120771239255,1.520582321486826,0.04710414732817169,0.33247291633788734,0.3291492507352898,27.380480244231226,1.9531123650089073e-14,1.0407739233950522e-13
0.0002,102400,7,7.0,8,1.1363491196211621,1.049464400790328,0.09033583653358102,11.02484995514863,1.5909108450496499,0.059223191026368735,0.3327601419333504,0.3286338895578759,26.383466427738682,1.948413905817491e-14,1.0034788417207398e-13
0.0002,102400,7,8.0,8,1.1394642925335838,1.0512946971360897,0.09020928535302851,11.040457304273998,1.603458711889909,0.06148134798373721,0.3277968717698809,0.32365368955150303,26.34522405678568,1.9900658444251175e-14,1.0025360566694435e-13
0.0001,204800,8,4.5,9,1.109349037837906,1.0276686058809625,0.06319418552420546,15.792702049677747,1.541526815611652,0.04186507405866091,0.22836179748126323,0.23139708764976577,38.82282660473792,2.779773892352426e-14,1.3552072521002052e-13
0.0001,204800,8,5.0,9,1.114759745245466,1.0300895927968072,0.06420259367232362,15.543689828409363,1.5857293049303662,0.04801143358431441,0.2181349774633786,0.22128707690833016,37.94684563963246,3.263773484741509e-14,1.3260196140540443e-13
0.0001,204800,8,6.0,9,1.119605885077369,1.032310279996962,0.06457608928702886,15.453445205474623,1.6186464883558742,0.052133454313024456,0.2076518512921222,0.21115520559062406,37.51418237232528,3.0487816858241903e-14,1.3115140676878101e-13
0.0001,204800,8,7.0,9,1.1197743439164125,1.0323867723185132,0.0646058909873477,15.446288432143655,1.620409622643825,0.052277493543458356,0.20740809858126708,0.21091585734853185,37.483631849562045,3.067043636964402e-14,1.3092601778001383e-13
0.0001,204800,8,8.0,9,1.1197744408661792,1.0323868112854673,0.06460591050957205,15.446283746669074,1.6204117779097027,0.05227768246041515,0.20740801606583045,0.21091577705008058,37.483605791175584,3.3035617477402846e-14,1.3094338829575217e-13
