sigma,folded_dimension,component_period,packet_model,packet_rank,packet_gram_condition,synthesis_norm,analysis_norm,packet_pair_residual,packet_component_norm,external_component_norm,external_to_packet_component_ratio,spectral_packet_weight_real,spectral_packet_weight_imag,spectral_packet_weight_modulus,direct_closest_distance,self_energy_action_norm,self_energy_to_target_coordinate_ratio,physical_self_energy_to_target_packet_ratio,external_forcing_norm,external_resolvent_lower_bound,packet_closure_residual,external_equation_residual
0.002,10240,5,branch_complete,6,1.3623795825094338,1.0953160662895156,1.1397541578477992,3.8341031026518955e-15,0.23420477541355084,0.9719574951846399,4.150032779939651,1.3773550824468646,-0.035876191070629615,1.377822239705814,0.105829125757428,0.041295502075512726,0.32134980170929617,0.3081147493864043,0.10103518049213242,9.619990684931038,1.8214339704721235e-14,2.7928284845723076e-14
0.002,10240,5,critical_bright,5,1.362366985154171,1.095312911894285,1.1397461326340883,3.813855881642845e-15,0.23420364388273693,0.9719577305381717,4.150053835305909,1.3774177312641833,-0.03577286759215961,1.3778821809054416,0.10583911724037294,0.04129447743342875,0.32134309886872153,0.30810959554726797,0.10104188317495466,9.6193548654989,2.1425408899486152e-14,2.7922517739706402e-14
0.002,10240,5,left_label,5,1.2386714376269758,1.0953626475836558,1.0749990443887285,5.453581904579611e-15,0.18611379981966006,0.9824521762429933,5.2787712528300785,1.0032780787365754,-0.044188758068379214,1.0042507404094754,0.021746000932902465,0.02985245817292504,0.2958876573704333,0.28744925584166287,0.08193096783098874,11.991218976805502,2.1246770106407073e-14,3.478637636269094e-14
0.002,10240,5,right_label,5,1.2259243962136042,1.0858350174890692,1.0748272492193913,1.94283282164353e-15,0.18699066692050234,0.9822579132381508,5.252978287177029,0.9698937711352578,0.026950639075050666,0.970268140378486,0.01660237189932623,0.029546714322375326,0.2912318398083975,0.284105983113107,0.08181924554248317,12.005218414390427,2.4712094665471998e-14,3.488358370957489e-14
0.002,10240,5,all_labels,10,65.90465326028286,1.5265429107683242,5.826510707426052,8.661364597202018e-15,0.23421864810140386,0.9719531160525233,4.149768278193292,1.3788289783806653,-0.03679095785180306,1.379319733130039,0.10569395090457542,0.0386212069139238,0.33181718197287563,0.3141201952832357,0.10097729669872227,9.625461839728793,1.7576473420087027e-14,2.792287956531796e-14
0.001,20480,6,branch_complete,7,1.2724673272264686,1.1221715167081199,1.0862092104929408,2.0909160093747883e-15,0.17259337466080632,0.9849579210723433,5.706811880861927,1.491375034144852,0.05806825303750145,1.4925050802196238,0.0900483381929804,0.023884251551617993,0.25175902743957973,0.26390193010475327,0.07136932012793264,13.8008589588182,1.4905662413402066e-14,2.79765145329518e-14
0.001,20480,6,critical_bright,6,1.2724642996310207,1.1221709483042055,1.086207561396105,4.649042648951012e-15,0.1725929934172753,0.9849579837264629,5.706824849750105,1.4913787762480293,0.05812320055908779,1.4925109583136404,0.0900514243852079,0.0238839158146602,0.2517560101102373,0.2638989011725306,0.07137149195503979,13.800439877968833,2.5546167547769555e-14,2.7965355910460065e-14
0.001,20480,6,left_label,6,1.18810388784936,1.120470079133887,1.048052388140807,8.326687907622781e-15,0.14021624509380617,0.9900589266930122,7.060943088517683,1.1336193487280992,0.06643461213705087,1.1355643467019032,0.029412432740866083,0.02311503805318801,0.3016911396165776,0.3092050475619307,0.05742585510939592,17.240647523784464,2.1034068726679146e-14,3.4908464121471944e-14
0.001,20480,6,right_label,6,1.185469699946679,1.118013068134656,1.0479165346860804,6.394412696538759e-15,0.14057779420776811,0.9900009817674073,7.0423710042300645,1.1094708278383074,0.11812956996113615,1.1157419563337314,0.02921512831052539,0.023345776134700097,0.3038051224080032,0.31120782872736497,0.057725745260289146,17.150077098241493,2.286976449074002e-14,3.463540095626869e-14
0.001,20480,6,all_labels,12,336.83107390002084,1.576812321498647,13.010680932362316,1.3002416880434615e-14,0.17261898011988777,0.9849523586265763,5.705933136335903,1.4928859138271402,0.056606996930240926,1.4939587356433095,0.08979054341156405,0.03729382740290478,0.4309891516708599,0.26099818364981203,0.07137060503373212,13.800532560443548,9.201468719352535e-15,2.7839898277784194e-14
0.0005,40960,6,branch_complete,7,1.1579219410648292,1.0717518840920852,1.0641176496136808,2.64781121195885e-15,0.12782822739375,0.9918384006014341,7.7591500783803315,1.4219542656355926,-0.086732202271567,1.4245969284222584,0.05095680031785807,0.028588385122406215,0.40030443905969615,0.39080668979835415,0.054091597741263764,18.336274800860807,1.1656067879228788e-14,5.795212955305181e-14
0.0005,40960,6,critical_bright,6,1.156784578333954,1.0716692519083548,1.0633567497559433,2.6370786620279516e-15,0.1276795924256866,0.9918568018436837,7.76832681715345,1.4206253556055464,-0.08580320903488442,1.4232141763171378,0.05056613755517501,0.028500355280420366,0.39950720781656485,0.3902159289319609,0.053957253582705214,18.382269963451236,1.3075979037800136e-14,5.814210792260379e-14
0.0005,40960,6,left_label,6,1.1217467834414148,1.072636071078155,1.04199409543441,2.163306131702281e-15,0.10293906437793408,0.9946859143374255,9.662861425333155,1.0600447802652355,-0.1321866937423136,1.0682547721260578,0.027278164201385527,0.02202067287534819,0.3841420237612416,0.3791099471856692,0.04449877717193649,22.35310670435079,1.2081838965489468e-14,7.075434033447559e-14
0.0005,40960,6,right_label,6,1.0885919487580025,1.0649332510847451,1.0264821330446703,1.6197571538009723e-15,0.10040864452027393,0.9949237458211286,9.908745911018045,0.9693495852597427,0.005070624417027075,0.9693628472740297,0.06486348753553439,0.024161105146012878,0.43242625524871336,0.43059679060459893,0.04241150712863981,23.458816089779386,1.0941050779130624e-14,7.399580845565533e-14
0.0005,40960,6,all_labels,12,126.17315260523523,1.500560289118332,8.007528879683338,2.2370520089660174e-14,0.12846022222780412,0.9917550647948153,7.7203281108769435,1.4195992383151155,-0.09336836445475227,1.4226663870724616,0.054138814212569206,0.0288719763083702,0.43708594767398434,0.39425157789667015,0.05405915845680486,18.34573628420912,1.153008362506664e-14,5.790036373611731e-14
0.0002,102400,7,branch_complete,8,1.1258694810100887,1.0900897199197477,1.043412746920209,1.883856294127846e-15,0.08802829236329912,0.9961387876690511,11.316120771239255,1.5179452522635315,-0.08951428684220342,1.520582321486826,0.04710414732817169,0.016634745392930365,0.33247291633788734,0.3291492507352898,0.03638134827379176,27.380480244231226,1.9531123650089073e-14,1.0407739233950522e-13
0.0002,102400,7,critical_bright,7,1.1254936006472875,1.090067751487255,1.0431881792522295,1.106103154672688e-15,0.08800949656583329,0.996140374628873,11.318555536603203,1.5175641866300698,-0.08939990938183291,1.5201951862638117,0.04704839373394061,0.016627738604244196,0.3324011191456854,0.32910428697600824,0.03635613417312067,27.39951310239562,1.88296051386446e-14,1.040610911146822e-13
0.0002,102400,7,left_label,7,1.0946792618862764,1.090253752082589,1.0265959928471997,2.1274286916975815e-15,0.07027199006318074,0.9975219067160884,14.195156645190037,1.1432878539676175,-0.0946421682064383,1.147198438384875,0.011410735376900296,0.013665339052394117,0.34302682641696153,0.3422249209583253,0.028866954386432667,34.55584172000213,1.659088989932052e-14,1.3111385510026152e-13
0.0002,102400,7,right_label,7,1.0769073802127296,1.085600644535555,1.0192366055659536,1.3070021842941933e-15,0.06904430982685744,0.9975993947948851,14.448683711902794,1.0785160487313843,-0.01772216911234812,1.078661644191173,0.030886346743276363,0.014887931185499484,0.3805839462781001,0.38062864777141386,0.027463938331766496,36.323974469495504,1.503316733096715e-14,1.3814015244209858e-13
0.0002,102400,7,all_labels,14,394.6984751171517,1.53245704688866,14.0928760137057,8.13630113573259e-14,0.08815097102910534,0.996127731307849,11.300246834251565,1.518075890505103,-0.09247451178621388,1.5208898529028854,0.04812109492551286,0.016191418907402,0.3510358269954606,0.33165452398048084,0.03637501330973547,27.38494479234304,1.8941523988957887e-14,1.0401351917585216e-13
0.0001,204800,8,branch_complete,9,1.119605885077369,1.1260498164820694,1.032310279996962,7.598088770388456e-16,0.06457608928702886,0.9979230573809373,15.453445205474623,1.6094088065442296,-0.1726839531765527,1.6186464883558742,0.052133454313024456,0.007672204014457627,0.2076518512921222,0.21115520559062406,0.0266012210389295,37.51418237232528,3.0487816858241903e-14,1.3115140676878101e-13
0.0001,204800,8,critical_bright,8,1.1196056252263962,1.1260497842309216,1.0323101509072015,1.7357705960157557e-15,0.06457607333807651,0.9979230583553287,15.4534490372445,1.6094102942936834,-0.17268059904309507,1.6186476097855156,0.05213368293105931,0.00767219226570362,0.20765158193134015,0.21115494021403436,0.0266012933176877,37.51408047862812,3.1523011726608693e-14,1.31153656346446e-13
0.0001,204800,8,left_label,8,1.0836054006728701,1.1254046281978847,1.0170334909175542,1.8727033739759473e-15,0.0515061299354447,0.9986649899876876,19.389245343017738,1.223630654096716,-0.11416580295704294,1.2289449980409959,0.005856516931417882,0.008236093939291554,0.2801285071210703,0.28327816862089866,0.020447953338440232,48.83936174239459,2.3389481692244882e-14,1.7072610942114182e-13
0.0001,204800,8,right_label,8,1.082711730033302,1.1236143137476378,1.0169666019583912,1.8119593749182662e-15,0.0515513627462036,0.9986624257449365,19.372182858899905,1.214830252901242,-0.09805158243479689,1.2187808072750668,0.006001666782519144,0.008280048263434887,0.2813447620818571,0.284460598848731,0.02046608480072067,48.79596832852812,2.5140954976621093e-14,1.704311014325083e-13
0.0001,204800,8,all_labels,16,1750.8143554424983,1.58712235322572,29.597958263748595,2.2269546640982306e-13,0.06457811622336046,0.9979228793112525,15.452957405255873,1.6097640564430664,-0.17431825103158125,1.6191748423375238,0.052053196007677674,0.00902703329260622,0.2647597687705864,0.21511269836204627,0.02660478503237989,37.50915025611785,2.338232863300196e-14,1.31070754598652e-13
