domain,field,point_count,minimum_sigma,maximum_sigma,log_log_slope,log_intercept,r_squared
all,packet_component_norm,7,0.0001,0.01,0.38046488457742905,0.823826511263427,0.987145828316247
all,external_to_packet_component_ratio,7,0.0001,0.01,-0.394365656710172,-0.9444272661245013,0.9900374050248602
all,target_eigenvalue_condition,7,0.0001,0.01,-0.6237831203137162,-0.8255650450786309,0.9889124909302652
all,external_resolvent_lower_bound,7,0.0001,0.01,-0.4354769313001299,-0.4003630807446059,0.9977576171968234
all,spectral_packet_weight_modulus,7,0.0001,0.01,-0.05980908248564323,-0.06937522031107045,0.8939098155560972
all,direct_closest_distance,7,0.0001,0.01,0.35530956201695973,0.03330656157102127,0.8965328033521393
all,physical_self_energy_to_target_packet_ratio,7,0.0001,0.01,0.2288076710291924,0.597290817262255,0.6669117497648853
tail_sigma_le_1e-3,packet_component_norm,4,0.0001,0.001,0.4242394750622634,1.1729930039791523,0.9997004884477273
tail_sigma_le_1e-3,external_to_packet_component_ratio,4,0.0001,0.001,-0.42978792568154073,-1.2250330415132964,0.9997151010424234
tail_sigma_le_1e-3,target_eigenvalue_condition,4,0.0001,0.001,-0.6770649908930065,-1.2446301545547782,0.9981239331565643
tail_sigma_le_1e-3,external_resolvent_lower_bound,4,0.0001,0.001,-0.4347390039453421,-0.3865420297113853,0.9995864143149736
tail_sigma_le_1e-3,spectral_packet_weight_modulus,4,0.0001,0.001,-0.04014743302576701,0.09020705550248317,0.5898594962823421
tail_sigma_le_1e-3,direct_closest_distance,4,0.0001,0.001,0.21663980108310965,-1.1024715738489543,0.5439646499929034
tail_sigma_le_1e-3,physical_self_energy_to_target_packet_ratio,4,0.0001,0.001,0.10921925757876481,-0.3543282267822983,0.1707257868650418
