x,h,shifted_upper_exclusive,theta,y,series,cell,side,bin_index,alpha_lo,alpha_hi,count
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,0,0,0.012500000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,1,0.012500000000000001,0.025000000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,2,0.025000000000000001,0.037499999999999999,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,3,0.037499999999999999,0.050000000000000003,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,4,0.050000000000000003,0.0625,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,5,0.0625,0.074999999999999997,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,6,0.074999999999999997,0.087499999999999994,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,7,0.087499999999999994,0.10000000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,8,0.10000000000000001,0.1125,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,9,0.1125,0.125,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,10,0.125,0.13750000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,11,0.13750000000000001,0.14999999999999999,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,12,0.14999999999999999,0.16250000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,13,0.16250000000000001,0.17499999999999999,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,14,0.17499999999999999,0.1875,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,15,0.1875,0.20000000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,16,0.20000000000000001,0.21249999999999999,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,17,0.21249999999999999,0.22500000000000001,0
100000000,2,200000002,0.34000000000000002,664,PS_right,PS,right,18,0.22500000000000001,0.23749999999999999,0
