x,h,shifted_upper_exclusive,theta,y,series,cell,side,bin_index,alpha_lo,alpha_hi,count
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,0,0,0.012500000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,1,0.012500000000000001,0.025000000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,2,0.025000000000000001,0.037499999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,3,0.037499999999999999,0.050000000000000003,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,4,0.050000000000000003,0.0625,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,5,0.0625,0.074999999999999997,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,6,0.074999999999999997,0.087499999999999994,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,7,0.087499999999999994,0.10000000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,8,0.10000000000000001,0.1125,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,9,0.1125,0.125,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,10,0.125,0.13750000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,11,0.13750000000000001,0.14999999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,12,0.14999999999999999,0.16250000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,13,0.16250000000000001,0.17499999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,14,0.17499999999999999,0.1875,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,15,0.1875,0.20000000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,16,0.20000000000000001,0.21249999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,17,0.21249999999999999,0.22500000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,18,0.22500000000000001,0.23749999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,19,0.23749999999999999,0.25,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,20,0.25,0.26250000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,21,0.26250000000000001,0.27500000000000002,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,22,0.27500000000000002,0.28749999999999998,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,23,0.28749999999999998,0.29999999999999999,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,24,0.29999999999999999,0.3125,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,25,0.3125,0.32500000000000001,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,26,0.32500000000000001,0.33750000000000002,0
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,27,0.33750000000000002,0.34999999999999998,18994
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,28,0.34999999999999998,0.36249999999999999,28415
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,29,0.36249999999999999,0.375,26031
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,30,0.375,0.38750000000000001,27218
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,31,0.38750000000000001,0.40000000000000002,25353
100000000,10,200000010,0.34000000000000002,664,PS_right,PS,right,32,0.40000000000000002,0.41249999999999998,23941
